promotion_id,sku_id,category,start_date,end_date,discount_percentage,region,store_format,sales_uplift_units,roi_percentage
PROMO_2024_0001,SKU_Cereals_125,Beverages,2024-11-23,2024-11-30,14.9,South,Online,919,15.2
PROMO_2024_0002,SKU_Cereals_704,Dairy,2024-10-06,2024-10-13,10.6,North,Hypermarket,1452,12.6
PROMO_2024_0003,SKU_Frozen_303,Frozen,2024-01-14,2024-01-21,18.4,West,Online,1639,17.1
PROMO_2024_0004,SKU_Snacks_814,Dairy,2024-01-04,2024-01-11,16.8,South,Hypermarket,1878,6.5
PROMO_2024_0005,SKU_Cereals_467,Beverages,2024-07-13,2024-07-20,22.1,North,Online,2381,13.0
PROMO_2024_0006,SKU_Cereals_665,Beverages,2024-07-12,2024-07-19,26.6,East,Online,1287,15.6
PROMO_2024_0007,SKU_Snacks_891,Beverages,2024-01-24,2024-01-31,29.7,South,Hypermarket,2056,9.2
PROMO_2024_0008,SKU_Beverages_266,Beverages,2024-11-21,2024-11-28,17.1,East,Online,792,14.1
PROMO_2024_0009,SKU_Frozen_846,Snacks,2024-03-28,2024-04-04,13.3,West,Express,2781,8.3
PROMO_2024_0010,SKU_Cereals_334,Cereals,2024-06-15,2024-06-22,26.1,West,Express,771,8.2
PROMO_2024_0011,SKU_Beverages_317,Dairy,2024-10-17,2024-10-24,17.9,West,Hypermarket,1584,7.1
PROMO_2024_0012,SKU_Frozen_369,Frozen,2024-10-14,2024-10-21,18.6,West,Express,1398,20.0
PROMO_2024_0013,SKU_Frozen_605,Cereals,2024-03-11,2024-03-18,25.1,North,Hypermarket,1155,16.9
PROMO_2024_0014,SKU_Frozen_165,Dairy,2024-08-04,2024-08-11,17.6,West,Online,1529,19.6
PROMO_2024_0015,SKU_Cereals_798,Frozen,2024-01-06,2024-01-13,25.0,East,Hypermarket,1702,11.5
PROMO_2024_0016,SKU_Cereals_839,Beverages,2024-08-20,2024-08-27,29.4,South,Online,935,18.1
PROMO_2024_0017,SKU_Frozen_723,Snacks,2024-06-01,2024-06-08,13.1,South,Online,2672,18.8
PROMO_2024_0018,SKU_Beverages_600,Cereals,2024-11-02,2024-11-09,12.2,East,Express,1480,5.9
PROMO_2024_0019,SKU_Cereals_187,Dairy,2024-10-17,2024-10-24,26.3,South,Hypermarket,2446,19.2
PROMO_2024_0020,SKU_Beverages_640,Frozen,2024-03-25,2024-04-01,18.5,South,Online,1323,15.7
PROMO_2024_0021,SKU_Beverages_548,Frozen,2024-07-23,2024-07-30,19.0,South,Hypermarket,762,10.1
PROMO_2024_0022,SKU_Frozen_335,Frozen,2024-10-28,2024-11-04,14.4,North,Online,741,8.4
PROMO_2024_0023,SKU_Beverages_172,Frozen,2024-01-17,2024-01-24,14.8,West,Hypermarket,2708,7.0
PROMO_2024_0024,SKU_Frozen_584,Snacks,2024-10-19,2024-10-26,25.7,West,Hypermarket,886,6.5
PROMO_2024_0025,SKU_Beverages_533,Dairy,2024-08-08,2024-08-15,19.3,North,Online,903,5.9
PROMO_2024_0026,SKU_Cereals_354,Snacks,2024-06-22,2024-06-29,13.8,West,Hypermarket,2228,7.8
PROMO_2024_0027,SKU_Snacks_995,Cereals,2024-08-24,2024-08-31,18.9,North,Hypermarket,2714,17.5
PROMO_2024_0028,SKU_Snacks_270,Dairy,2024-02-17,2024-02-24,19.7,South,Express,740,7.5
PROMO_2024_0029,SKU_Dairy_371,Dairy,2024-01-02,2024-01-09,15.7,West,Hypermarket,1277,9.5
PROMO_2024_0030,SKU_Frozen_853,Frozen,2024-01-30,2024-02-06,11.2,East,Hypermarket,705,13.8
PROMO_2024_0031,SKU_Frozen_261,Cereals,2024-09-14,2024-09-21,29.2,North,Hypermarket,780,13.9
PROMO_2024_0032,SKU_Snacks_513,Cereals,2024-12-11,2024-12-18,28.8,South,Online,2935,5.6
PROMO_2024_0033,SKU_Dairy_773,Frozen,2024-02-11,2024-02-18,21.3,East,Express,1336,15.0
PROMO_2024_0034,SKU_Snacks_371,Dairy,2024-06-09,2024-06-16,12.6,East,Express,1795,18.9
PROMO_2024_0035,SKU_Cereals_569,Frozen,2024-02-07,2024-02-14,30.0,North,Hypermarket,2702,8.2
PROMO_2024_0036,SKU_Snacks_457,Cereals,2024-05-15,2024-05-22,27.6,East,Express,1146,11.6
PROMO_2024_0037,SKU_Beverages_726,Frozen,2024-10-05,2024-10-12,10.2,East,Online,924,19.1
PROMO_2024_0038,SKU_Beverages_218,Cereals,2024-03-09,2024-03-16,24.8,South,Express,1654,14.1
PROMO_2024_0039,SKU_Snacks_803,Beverages,2024-06-24,2024-07-01,20.1,East,Hypermarket,878,14.5
PROMO_2024_0040,SKU_Cereals_103,Beverages,2024-05-21,2024-05-28,25.4,East,Hypermarket,2309,13.3
PROMO_2024_0041,SKU_Frozen_109,Cereals,2024-08-06,2024-08-13,11.5,South,Online,647,17.5
PROMO_2024_0042,SKU_Frozen_251,Dairy,2024-10-25,2024-11-01,12.5,East,Express,663,18.5
PROMO_2024_0043,SKU_Snacks_782,Cereals,2024-04-17,2024-04-24,17.1,West,Online,1133,18.9
PROMO_2024_0044,SKU_Snacks_919,Snacks,2024-05-01,2024-05-08,27.6,North,Hypermarket,1860,16.7
PROMO_2024_0045,SKU_Snacks_373,Snacks,2024-07-29,2024-08-05,25.7,North,Express,658,17.9
PROMO_2024_0046,SKU_Snacks_936,Dairy,2024-04-23,2024-04-30,17.0,South,Hypermarket,596,14.9
PROMO_2024_0047,SKU_Beverages_385,Cereals,2024-07-23,2024-07-30,29.3,East,Express,2586,11.0
PROMO_2024_0048,SKU_Beverages_128,Cereals,2024-10-01,2024-10-08,27.5,East,Hypermarket,2878,19.4
PROMO_2024_0049,SKU_Cereals_211,Frozen,2024-05-15,2024-05-22,18.7,East,Express,2983,19.8
PROMO_2024_0050,SKU_Dairy_690,Snacks,2024-02-29,2024-03-07,15.1,West,Hypermarket,2629,18.9
PROMO_2024_0051,SKU_Snacks_472,Dairy,2024-10-02,2024-10-09,11.4,East,Online,1785,15.0
PROMO_2024_0052,SKU_Beverages_619,Beverages,2024-03-04,2024-03-11,23.3,East,Express,1711,13.3
PROMO_2024_0053,SKU_Dairy_780,Dairy,2024-04-08,2024-04-15,23.5,South,Online,2831,9.5
PROMO_2024_0054,SKU_Cereals_411,Beverages,2024-10-07,2024-10-14,14.2,East,Express,2309,11.6
PROMO_2024_0055,SKU_Frozen_584,Snacks,2024-04-19,2024-04-26,23.2,East,Online,1872,6.4
PROMO_2024_0056,SKU_Beverages_330,Snacks,2024-04-30,2024-05-07,12.9,North,Hypermarket,2446,14.2
PROMO_2024_0057,SKU_Dairy_524,Frozen,2024-02-07,2024-02-14,13.9,West,Express,2136,8.7
PROMO_2024_0058,SKU_Cereals_868,Cereals,2024-12-01,2024-12-08,25.6,South,Hypermarket,2621,12.0
PROMO_2024_0059,SKU_Snacks_968,Cereals,2024-10-12,2024-10-19,19.1,West,Online,2675,19.8
PROMO_2024_0060,SKU_Beverages_873,Dairy,2024-10-31,2024-11-07,22.3,West,Online,2326,18.5
PROMO_2024_0061,SKU_Dairy_365,Snacks,2024-08-31,2024-09-07,26.8,East,Online,2484,14.4
PROMO_2024_0062,SKU_Dairy_179,Beverages,2024-05-20,2024-05-27,14.7,East,Express,2712,6.2
PROMO_2024_0063,SKU_Snacks_492,Snacks,2024-03-18,2024-03-25,24.1,North,Express,2169,10.0
PROMO_2024_0064,SKU_Dairy_163,Snacks,2024-08-26,2024-09-02,26.7,West,Online,580,17.9
PROMO_2024_0065,SKU_Dairy_588,Cereals,2024-10-21,2024-10-28,28.9,East,Express,2216,13.1
PROMO_2024_0066,SKU_Frozen_325,Dairy,2024-10-06,2024-10-13,14.4,West,Express,618,10.8
PROMO_2024_0067,SKU_Dairy_841,Snacks,2024-12-08,2024-12-15,26.8,South,Online,2687,5.4
PROMO_2024_0068,SKU_Frozen_677,Cereals,2024-07-20,2024-07-27,11.7,West,Hypermarket,2391,7.7
PROMO_2024_0069,SKU_Dairy_435,Snacks,2024-05-13,2024-05-20,19.1,East,Express,1639,16.3
PROMO_2024_0070,SKU_Beverages_954,Cereals,2024-08-03,2024-08-10,19.4,North,Express,1418,14.8
PROMO_2024_0071,SKU_Cereals_872,Cereals,2024-11-29,2024-12-06,29.0,South,Hypermarket,1124,8.6
PROMO_2024_0072,SKU_Cereals_677,Snacks,2024-08-30,2024-09-06,19.3,East,Express,1187,14.1
PROMO_2024_0073,SKU_Snacks_418,Cereals,2024-02-28,2024-03-06,21.6,East,Online,2037,10.9
PROMO_2024_0074,SKU_Cereals_706,Snacks,2024-04-11,2024-04-18,12.0,East,Online,2959,17.1
PROMO_2024_0075,SKU_Cereals_455,Frozen,2024-10-16,2024-10-23,18.6,East,Hypermarket,2572,14.7
PROMO_2024_0076,SKU_Dairy_942,Dairy,2024-01-07,2024-01-14,12.1,East,Online,2383,15.6
PROMO_2024_0077,SKU_Snacks_851,Frozen,2024-08-10,2024-08-17,29.3,East,Online,2704,16.6
PROMO_2024_0078,SKU_Dairy_945,Frozen,2024-08-26,2024-09-02,15.4,South,Hypermarket,1642,18.2
PROMO_2024_0079,SKU_Dairy_683,Frozen,2024-05-04,2024-05-11,23.4,East,Hypermarket,2524,17.8
PROMO_2024_0080,SKU_Dairy_317,Beverages,2024-04-03,2024-04-10,26.0,East,Express,2941,15.5
PROMO_2024_0081,SKU_Frozen_110,Frozen,2024-05-21,2024-05-28,29.0,North,Hypermarket,2164,12.3
PROMO_2024_0082,SKU_Dairy_761,Dairy,2024-05-03,2024-05-10,19.0,North,Hypermarket,1705,8.3
PROMO_2024_0083,SKU_Snacks_413,Frozen,2024-12-20,2024-12-27,17.4,East,Express,2754,10.0
PROMO_2024_0084,SKU_Dairy_377,Beverages,2024-12-25,2025-01-01,15.0,North,Online,1288,9.7
PROMO_2024_0085,SKU_Snacks_296,Snacks,2024-10-01,2024-10-08,24.8,East,Online,2914,19.6
PROMO_2024_0086,SKU_Frozen_389,Cereals,2024-09-25,2024-10-02,26.7,East,Hypermarket,1978,7.7
PROMO_2024_0087,SKU_Frozen_229,Beverages,2024-01-08,2024-01-15,10.9,North,Online,1696,15.5
PROMO_2024_0088,SKU_Dairy_205,Cereals,2024-03-05,2024-03-12,21.5,West,Express,2304,10.1
PROMO_2024_0089,SKU_Beverages_982,Dairy,2024-01-27,2024-02-03,12.3,North,Express,2514,6.1
