alert_id,store_id,sku_id,category,stock_level,threshold,markdown_recommended,date
ALERT_0001,STORE_036,SKU_Snacks_291,Cereals,319,137,True,2024-08-29
ALERT_0002,STORE_038,SKU_Cereals_514,Snacks,230,119,True,2024-03-22
ALERT_0003,STORE_085,SKU_Snacks_765,Beverages,382,118,True,2024-06-02
ALERT_0004,STORE_073,SKU_Beverages_450,Beverages,92,106,False,2024-12-16
ALERT_0005,STORE_081,SKU_Snacks_555,Beverages,203,90,True,2024-06-27
ALERT_0006,STORE_020,SKU_Beverages_743,Snacks,165,91,True,2024-05-27
ALERT_0007,STORE_042,SKU_Beverages_359,Cereals,52,124,False,2024-06-06
ALERT_0008,STORE_015,SKU_Cereals_569,Cereals,300,84,True,2024-04-11
ALERT_0009,STORE_071,SKU_Beverages_402,Snacks,318,93,True,2024-01-31
ALERT_0010,STORE_075,SKU_Beverages_706,Beverages,158,97,True,2024-03-15
ALERT_0011,STORE_087,SKU_Cereals_393,Snacks,148,126,True,2024-03-21
ALERT_0012,STORE_034,SKU_Cereals_678,Cereals,413,102,True,2024-11-19
ALERT_0013,STORE_038,SKU_Snacks_167,Beverages,63,86,False,2024-03-15
ALERT_0014,STORE_099,SKU_Beverages_833,Beverages,453,120,True,2024-07-23
ALERT_0015,STORE_035,SKU_Cereals_323,Snacks,430,86,True,2024-05-18
ALERT_0016,STORE_068,SKU_Beverages_585,Cereals,71,116,False,2024-03-21
ALERT_0017,STORE_033,SKU_Snacks_470,Snacks,237,137,True,2024-05-07
ALERT_0018,STORE_073,SKU_Cereals_240,Beverages,278,121,True,2024-12-15
ALERT_0019,STORE_014,SKU_Cereals_232,Cereals,94,107,False,2024-06-08
ALERT_0020,STORE_014,SKU_Beverages_237,Beverages,74,92,False,2024-03-14
ALERT_0021,STORE_084,SKU_Snacks_455,Cereals,281,81,True,2024-07-18
ALERT_0022,STORE_020,SKU_Cereals_408,Beverages,129,91,True,2024-04-19
ALERT_0023,STORE_056,SKU_Cereals_148,Cereals,82,105,False,2024-11-26
ALERT_0024,STORE_051,SKU_Cereals_324,Cereals,499,92,True,2024-06-08
ALERT_0025,STORE_044,SKU_Cereals_746,Cereals,335,146,True,2024-01-02
ALERT_0026,STORE_027,SKU_Beverages_757,Beverages,403,93,True,2024-07-28
ALERT_0027,STORE_081,SKU_Cereals_213,Snacks,332,139,True,2024-03-20
ALERT_0028,STORE_009,SKU_Cereals_899,Cereals,192,144,True,2024-08-19
ALERT_0029,STORE_093,SKU_Cereals_401,Cereals,241,95,True,2024-07-16
ALERT_0030,STORE_023,SKU_Cereals_852,Cereals,64,85,False,2024-06-12
ALERT_0031,STORE_098,SKU_Cereals_611,Snacks,352,108,True,2024-02-21
ALERT_0032,STORE_098,SKU_Snacks_100,Beverages,413,146,True,2024-10-31
