store_id,region,store_format,date,sales_usd,inventory_turnover,foot_traffic
STORE_001,West,Online,2024-11-02,32968.26,3.7,0
STORE_002,East,Express,2024-05-01,25348.01,2.4,1492
STORE_003,East,Online,2024-04-11,22518.6,2.4,0
STORE_004,North,Hypermarket,2024-04-06,19388.78,2.8,772
STORE_005,West,Online,2024-12-23,15368.17,5.8,0
STORE_006,East,Express,2024-07-05,42432.48,5.4,820
STORE_007,South,Express,2024-09-11,14606.32,4.3,1799
STORE_008,North,Hypermarket,2024-05-12,26903.09,5.2,628
STORE_009,West,Express,2024-05-22,19364.94,5.3,1457
STORE_010,North,Express,2024-01-18,27332.64,4.5,1298
STORE_011,South,Hypermarket,2024-03-09,16089.98,5.5,1917
STORE_012,East,Online,2024-04-03,41410.37,4.1,0
STORE_013,South,Online,2024-03-05,49310.64,3.1,0
STORE_014,East,Online,2024-07-11,32534.99,3.8,0
STORE_015,East,Online,2024-10-09,29208.04,3.0,0
STORE_016,North,Online,2024-02-28,29348.85,4.1,0
STORE_017,North,Hypermarket,2024-02-28,48396.75,5.6,539
STORE_018,West,Hypermarket,2024-01-03,37135.86,3.1,1168
STORE_019,East,Online,2024-11-16,39153.56,5.5,0
STORE_020,North,Hypermarket,2024-03-26,14847.42,5.2,1316
STORE_021,East,Express,2024-08-05,27923.96,5.2,1494
STORE_022,South,Hypermarket,2024-04-16,20710.69,5.7,955
STORE_023,South,Express,2024-02-22,42589.01,2.5,593
STORE_024,East,Express,2024-05-07,32818.31,3.0,1998
STORE_025,West,Online,2024-12-17,31959.32,3.9,0
STORE_026,West,Online,2024-08-29,22529.64,2.2,0
STORE_027,South,Online,2024-05-17,33997.62,2.5,0
STORE_028,North,Express,2024-01-20,37080.13,3.4,1873
STORE_029,South,Online,2024-11-06,47371.56,4.1,0
STORE_030,West,Online,2024-08-20,44428.85,5.9,0
STORE_031,West,Hypermarket,2024-03-17,24294.34,5.6,1213
STORE_032,North,Hypermarket,2024-06-26,32612.37,4.0,1147
STORE_033,East,Online,2024-06-17,13787.39,2.0,0
STORE_034,East,Express,2024-09-05,30711.91,5.0,1552
STORE_035,South,Express,2024-04-27,47900.35,4.8,1278
STORE_036,North,Express,2024-01-27,12739.2,5.1,731
STORE_037,North,Online,2024-09-15,17295.43,4.0,0
STORE_038,East,Express,2024-03-31,20711.57,3.4,1698
STORE_039,South,Online,2024-05-19,22013.06,2.5,0
STORE_040,East,Hypermarket,2024-12-08,29763.76,4.9,546
STORE_041,North,Online,2024-05-27,30317.74,3.0,0
STORE_042,East,Express,2024-10-25,18040.0,2.9,1433
